id,Species,Owner,Country.of.Origin,Farm.Name,Lot.Number,Mill,ICO.Number,Company,Region,Producer,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration,Certification.Body,Certification.Address,Certification.Contact,Altitude
39,Arabica,SOLOMON WORKU,Ethiopia,Solomon Worku coffee industry,8.33,Hulling Facility,010/0115/0038,SMS PLC,Yirgacheffe,Solomon Worku,250,60 kg,METAD Agricultural Development plc,2020,"June 24th, 2021",SOLOMON WORKU,Ethiopian Yirgacheffe,Washed / Wet,8.0,7.92,8.08,8.0,8.08,8.0,10.0,10.0,10.0,7.92,86.0,9.3 %,0 full defects,1,Greenish,3 full defects,"June 24th, 2022",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",1950
40,Arabica,ROGERS WASIBI,Uganda,Buginyanya,4-Buginyanya,Mbale Importers And Exporters,,Mount Elgon Coffee And Honey Co-Operative LTD,Sipi-Bulambuli Origin,Mount Elgon Coffee And Honey Coop,240,60 kg,Coffee Laboratory LTD,2021 / 2022,"May 10th, 2022",ROGERS WASIBI,SL14,Washed / Wet,7.5,8.17,8.08,8.0,8.08,8.0,10.0,10.0,10.0,8.08,85.92,13.7 %,0 full defects,0,Green,0 full defects,"May 10th, 2023",Coffee Laboratory LTD,"93 Lower Baggot Street, Dublin 2, D02Y588, Republic of Ireland",Alin Giriada - 00353863380937,1920-2300
41,Arabica,Olkai Coffee Export,Ethiopia,Goro,Goro,Tagel Alemayehu washed and dry coffee processing station.,,Olkai Coffee Export,Oromia,Tagel Alemayehu,160,9600 kg,Coffee Laboratory LTD,2021,"September 27th, 2021",Olkai Coffee Export,Ethiopian Heirlooms,Natural / Dry,8.0,8.0,7.92,7.67,8.25,8.08,10.0,10.0,10.0,8.0,85.92,10.9 %,0 full defects,8,yellow-green,0 full defects,"September 27th, 2022",Coffee Laboratory LTD,"93 Lower Baggot Street, Dublin 2, D02Y588, Republic of Ireland",Alin Giriada - 00353863380937,2250-2350
42,Arabica,Coffee Quality Union,Colombia,El Diamante,CQU2022008,El Diamante,,Coffee Quality Union,Quindio,Farm Bedoya Arango,6,10 kg,Japan Coffee Exchange,2021,"April 22nd, 2022",Coffee Quality Union,Castillo Paraguaycito,Anaerobico 21days,8.17,8.0,7.83,8.0,8.0,7.92,10.0,10.0,10.0,8.0,85.92,11.5 %,0 full defects,0,brownish,1 full defects,"April 22nd, 2023",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901,1350
43,Arabica,Marites Arellano,Philippines,BACOFA Cooperative,FA3,BACOFA Cooperative,,Barista & Coffee Academy of Asia,Davao Region,Marites Arellano,2,118 kg,Barista and Coffee Academy of Asia,2020,"June 24th, 2021",Marites Arellano,Catimor,Natural / Dry,8.17,8.17,8.0,7.75,7.83,7.92,10.0,10.0,10.0,8.0,85.83,10.3 %,0 full defects,0,Brownish,1 full defects,"June 24th, 2022",Barista and Coffee Academy of Asia,"The Place Bldg., Tunasan, Muntinlupa City, Metro Manila ​Philippines",Rosario Cruz - +63 995 344 5688,1560
44,Arabica,Alexis Rodriguez,"Congo, the Democratic Republic of the",,NHOL-306/21,,,Nestle Nespresso SA,,Olam SCE GB,320,60 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2020,"June 9th, 2021",Alexis Rodriguez,,Washed / Wet,8.08,8.08,7.58,8.08,7.83,8.0,10.0,10.0,10.0,8.08,85.75,9.6 %,0 full defects,1,Green,1 full defects,"June 9th, 2022",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),"Bahnhofstrasse 22 6300 Zug, Switzerland",Tirza Odermatt - +41 41 728 72 81,
45,Arabica,Ikuto Uehara,Ethiopia,TADE GG,010/0296/0615,Moledo社 委託精選場,,Marubeni Corporation,Guji,Tesfaye Bekele Degaga,120,30 kg,Japan Coffee Exchange,2021,"February 25th, 2022",Ikuto Uehara,Ethiopian Heirlooms,Natural / Dry,8.25,8.08,7.83,8.08,7.58,7.83,10.0,10.0,10.0,8.0,85.67,11.8 %,0 full defects,0,greenish,2 full defects,"February 25th, 2023",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901,1800-2200
46,Arabica,Yongshun,Taiwan,Yong-Shun Coffee Manor永舜咖啡莊園,1100315,yes,,Yong-Shun Coffee Manor永舜咖啡莊園,"Shek Pik, Gukeng Township, Yunlin County",蘇甘永,10,1 kg,Japan Coffee Exchange,2021,"December 13th, 2021",Yongshun,Gesha,Washed / Wet,8.0,8.0,7.83,8.08,7.83,7.92,10.0,10.0,10.0,8.0,85.67,11.7 %,0 full defects,0,Blue-Green,0 full defects,"December 13th, 2022",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901,1250
47,Arabica,Adesha Coffee,Uganda,Karasa Coffee Farm,001,Karasa,,Adesha Coffee,Eastern,Adesha,320,60 kg,Uganda Coffee Development Authority,2021,"December 14th, 2021",Adesha Coffee,SL14,Washed / Wet,8.0,8.0,7.92,7.92,7.83,8.0,10.0,10.0,10.0,8.0,85.67,10.4 %,0 full defects,0,Green,1 full defects,"December 14th, 2022",Uganda Coffee Development Authority,"Coffee House, Plot 35, Jinja Road, P.O. Box 7267, Kampala, Uganda",Clare Rwakatogoro - 256-75-753120312,1800
48,Arabica,Janny Marlith Torres,Honduras,Las Capuquitas,# 252,el cafe es seleccionado y cortado a mano y es procesado en la central de beneficiado y secado en secadora solar,13-154-122,Coffee planet Corporation S.A,copan,Origenes Coffee Plantation,20,69 kg,Instituto Hondureño del Café,2021,"June 24th, 2021",Janny Marlith Torres,obata,Washed / Wet,8.0,8.0,7.75,8.0,7.92,7.92,10.0,10.0,10.0,7.92,85.5,11.4 %,0 full defects,0,Green,0 full defects,"June 24th, 2022",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042,1650
49,Arabica,Lendilou F. Loon,Philippines,Alegre/Mahayahay,PCQC2021 FA1,Lendilou Loon,,Barista & Coffee Academy of Asia,Davao Region,Lendilou Loon,2,59 kg,Barista and Coffee Academy of Asia,2020,"June 24th, 2021",Lendilou F. Loon,Catimor,Natural / Dry,8.17,7.92,7.75,8.0,7.83,7.67,10.0,10.0,10.0,7.92,85.25,11 %,0 full defects,0,yellow-green,1 full defects,"June 24th, 2022",Barista and Coffee Academy of Asia,"The Place Bldg., Tunasan, Muntinlupa City, Metro Manila ​Philippines",Rosario Cruz - +63 995 344 5688,1490
50,Arabica,"CHEN,CING-JHANG 陳慶璋",Taiwan,可納咖啡莊園Ke Na Coffee Mamor,1,可納咖啡莊園Ke Na Coffee Mamor,,Taiwan Coffee Laboratory,"雲林縣古坑鄉 Gukeng Township, Yunlin County","陳慶璋 Chen, Qing-Zhang",4,50 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"April 6th, 2022","CHEN,CING-JHANG 陳慶璋",Typica,Pulped natural / honey,7.75,7.92,7.75,7.92,8.0,7.92,10.0,10.0,10.0,7.92,85.17,10.2 %,0 full defects,0,Bluish-Green,2 full defects,"April 6th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",1200
51,Arabica,Alexis Rodriguez,Myanmar,near Pinlaung,NHOL-2027/21,,n/A,Nestle Nespresso SA,Shan State,Atlas Coffee Importers,275,60 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2020,"July 23rd, 2021",Alexis Rodriguez,Catuai,Natural / Dry,8.0,7.83,7.75,8.08,7.67,7.92,10.0,10.0,10.0,7.92,85.17,11.4 %,0 full defects,1,yellow-green,0 full defects,"July 23rd, 2022",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),"Bahnhofstrasse 22 6300 Zug, Switzerland",Tirza Odermatt - +41 41 728 72 81,1400
52,Arabica,Coffee Quality Union,Peru,Santa Emilia,CQU2022002,Santa Emilia,,Coffee Quality Union,"Pacaysuizo, Alto Inambari",Gumercinda Quilla Ochochoque,1,5 kg,Japan Coffee Exchange,2021,"January 28th, 2022",Coffee Quality Union,Bourbon,Washed / Wet,7.83,7.92,7.92,7.83,7.83,7.92,10.0,10.0,10.0,7.83,85.08,11.6 %,0 full defects,0,Greenish,2 full defects,"January 28th, 2023",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901,1660
53,Arabica,SOLOMON WORKU,Ethiopia,SOLOMON WORKU,8.33,SOLOMON WORKU COFFEE PROCESSING,010/0115/0038,SMS PLC,ADDIS ABABA,SOLOMON WORKU COFFEE PROCESSING,250,60 kg,METAD Agricultural Development plc,2020,"May 28th, 2021",SOLOMON WORKU,Ethiopian Yirgacheffe,Washed / Wet,7.92,7.75,7.75,8.0,8.0,7.75,10.0,10.0,10.0,7.92,85.08,9.7 %,0 full defects,4,Green,1 full defects,"May 28th, 2022",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",1950
54,Arabica,"Lin, Che-Hao Krude 林哲豪",Taiwan,東山高峰咖啡園（Dong Shan Gao Fong Coffee Garden ),2021 臺南市精品咖啡評鑑批次,東山高峰咖啡園（Dong Shan Gao Fong Coffee Garden ),,Taiwan Coffee Laboratory 台灣咖啡研究室,"Dongshan Dist.,Tainan City",陳得 （Chen De),1,20 kg,Alliance for Coffee Excellence,2020,"June 9th, 2021","Lin, Che-Hao Krude 林哲豪",Gesha,Pulped natural / honey,7.83,7.83,7.92,7.83,7.83,7.83,10.0,10.0,10.0,7.83,84.92,9.7 %,0 full defects,0,Green,1 full defects,"June 9th, 2022",Alliance for Coffee Excellence,"2250 NW 22nd Ave, Ste. 612 Portland, OR 97210",Alex Pond -,650-700
55,Arabica,Alexis Rodriguez,Papua New Guinea,,NHOL_1194/21,NKG,,Nestle Nespresso SA,,East Pacific CTP,1,60 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2020,"June 9th, 2021",Alexis Rodriguez,,Washed / Wet,8.08,8.17,7.83,7.92,7.58,8.0,9.33,10.0,10.0,8.0,84.92,12 %,0 full defects,1,Green,0 full defects,"June 9th, 2022",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),"Bahnhofstrasse 22 6300 Zug, Switzerland",Tirza Odermatt - +41 41 728 72 81,
56,Arabica,Balam Hinyula,"Tanzania, United Republic Of",IYENGA,S54965/P03274,CITY COFFEE LTD,,VOLCAFE/TaylorWinch Tanzania Ltd,SOUTHERN HIGHLAND,IYENGA AMCOS,300,60 kg,Kenya Coffee Traders Association,2021 / 2022,"September 17th, 2021",Balam Hinyula,Bourbon,Washed / Wet,7.75,7.83,7.92,7.92,7.83,7.83,10.0,10.0,10.0,7.83,84.92,11.4 %,0 full defects,0,Green,0 full defects,"September 17th, 2022",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya",Benson Kibicho Kamau - +254 786 821 621,1520
57,Arabica,Angelica Paola Citan Lopez,Guatemala,SAN FRANCISCO COTZAL,11/441/45,"INMOBILIARIA E INVERSIONES DOS MIL, S. A.",11/441/45,"INMOBILIARIA E INVERSIONES DOS MIL, S. A.",QUICHE,SAN FRANCISCO COTZAL,275,69 kg,Asociacion Nacional Del Café,2021 / 2022,"February 22nd, 2022",Angelica Paola Citan Lopez,Caturra,Washed / Wet,7.67,8.0,7.67,7.83,7.92,7.75,10.0,10.0,10.0,7.92,84.75,10.9 %,0 full defects,1,Green,4 full defects,"February 22nd, 2023",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Brayan Cifuentes -,1600
58,Arabica,Angelica Paola Citan Lopez,Guatemala,SAN RAFAEL URIAS,11/54876/01,"SU BENEFICIO, S. A.",11/54876/01,"VALBROS, S. A.",ANTIGUA GUATEMALA,"VALDROS, S. A.",50,69 kg,Asociacion Nacional Del Café,2021,"May 28th, 2021",Angelica Paola Citan Lopez,Bourbon,Washed / Wet,7.67,8.08,7.75,7.75,7.83,7.83,10.0,10.0,10.0,7.83,84.75,10.9 %,0 full defects,3,Green,3 full defects,"May 28th, 2022",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Brayan Cifuentes -,5650
59,Arabica,Jastine Mae Dubria,Philippines,BACOFA Cooperative,PCQC2021 FA2,BACOFA Cooperative,,Barista & Coffee Academy of Asia,Davao Region,Jastine Mae Dubria,2,59 kg,Barista and Coffee Academy of Asia,2020,"June 24th, 2021",Jastine Mae Dubria,Catimor,Natural / Dry,8.0,7.92,7.67,7.83,7.75,7.75,10.0,10.0,10.0,7.83,84.75,10.4 %,0 full defects,0,Greenish,0 full defects,"June 24th, 2022",Barista and Coffee Academy of Asia,"The Place Bldg., Tunasan, Muntinlupa City, Metro Manila ​Philippines",Rosario Cruz - +63 995 344 5688,1490
60,Arabica,Angelica Paola Citan Lopez,Guatemala,SAN RAFAEL URIAS VALDES,11/54876/03,ECO COFFEE,11/54876/03,"VALBROS, S. A.",ANTIGUA GUATEMALA,"VALBROS, S. A.",66,30 kg,Asociacion Nacional Del Café,2021 / 2022,"May 19th, 2022",Angelica Paola Citan Lopez,Bourbon,Natural / Dry,7.83,8.0,7.67,7.83,7.75,7.75,10.0,10.0,10.0,7.83,84.67,10.9 %,0 full defects,3,yellow-green,2 full defects,"May 19th, 2023",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Brayan Cifuentes -,4895
61,Arabica,Angelica Paola Citan Lopez,Guatemala,SAN FRANCISCO COTZAL,11/441/40,"INMOBILIARIA E INVERSIONES DOS MIL, S. A.",11/441/40,"INMOBILIARIA E INVERSIONES DOS MIL, S. A.",QUICHÉ,SAN FRANCISCO COTZAL,275,69 kg,Asociacion Nacional Del Café,2021 / 2022,"February 4th, 2022",Angelica Paola Citan Lopez,Caturra,Washed / Wet,7.58,8.0,7.83,7.92,7.92,7.67,10.0,10.0,10.0,7.75,84.67,10.9 %,0 full defects,1,Green,3 full defects,"February 4th, 2023",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Brayan Cifuentes -,1600
62,Arabica,Alexis Rodriguez,Colombia,,NHOL-986/21,San Jose,,Nestle Nespresso SA,Huila,B.Rothfos Int,275,70 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2020,"June 9th, 2021",Alexis Rodriguez,,Washed / Wet,8.0,7.92,7.67,7.75,7.75,7.83,10.0,10.0,10.0,7.75,84.67,10 %,0 full defects,0,Green,0 full defects,"June 9th, 2022",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),"Bahnhofstrasse 22 6300 Zug, Switzerland",Tirza Odermatt - +41 41 728 72 81,
63,Arabica,Janny Marlith Torres,Honduras,Las capuquitas,252,el cafe es seleccionado y cortado a mano luego es procesado en su propio centro de beneficiado en Santa Rosa de copan y es secado en secadora solar luego es dejado en resposo para su comercilaizacion,13-154-122,Coffee planet Corporation S.A,Copan,Origenes Coffee Plantation,20,69 kg,Instituto Hondureño del Café,2021,"June 11th, 2021",Janny Marlith Torres,obata,Washed / Wet,7.83,7.83,7.75,7.83,7.83,7.75,10.0,10.0,10.0,7.67,84.5,11 %,0 full defects,1,Green,4 full defects,"June 11th, 2022",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042,1650
64,Arabica,Leon Su 蘇晉寬,Taiwan,百勝村咖啡莊園Baishengcun Coffee Farm,3,百勝村咖啡莊園Baishengcun Coffee Farm,,Taiwan Coffee Laboratory,"南投縣國姓鄉 Guoxing Township, Nantou County",蘇晉寬 Leon Su,2,20 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"April 6th, 2022",Leon Su 蘇晉寬,Gesha,Washed / Wet,7.67,7.67,7.67,7.83,8.0,7.75,10.0,10.0,10.0,7.83,84.42,10.2 %,0 full defects,0,Bluish-Green,3 full defects,"April 6th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",900
65,Arabica,Huaxitian,Taiwan,Hua Xi Tian Manor Cafe花囍田咖啡莊園,1100412,yes,,Hua Xi Tian Manor Cafe花囍田咖啡莊園,"Caoling, Gukeng Township, Yunlin County",謝宗霖,8,1 kg,Japan Coffee Exchange,2021,"December 13th, 2021",Huaxitian,Gesha,Washed / Wet,7.75,7.75,7.83,7.75,7.83,7.75,10.0,10.0,10.0,7.75,84.42,11.4 %,0 full defects,1,greenish,1 full defects,"December 13th, 2022",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901,700
66,Arabica,"Lin, Che-Hao Krude 林哲豪",Taiwan,十萬咖啡（Shin Wan café),2020 臺南市精品咖啡評鑑批次,十萬咖啡（Shin Wan café),,Taiwan Coffee Laboratory 台灣咖啡研究室,"Dongshan Dist., Tainan City",陳天財（CHEN TIAN CAI）,1,20 kg,Alliance for Coffee Excellence,2020,"June 7th, 2021","Lin, Che-Hao Krude 林哲豪",Gesha,Pulped natural / honey,7.92,7.92,7.67,7.67,7.75,7.75,10.0,10.0,10.0,7.67,84.33,11.2 %,0 full defects,1,Bluish-Green,0 full defects,"June 7th, 2022",Alliance for Coffee Excellence,"2250 NW 22nd Ave, Ste. 612 Portland, OR 97210",Alex Pond -,650-700
67,Arabica,Bourbon Specialty Coffees SA,Brazil,IBIRACI REGIONAL,43107088 - P8313,DRY MILL,002/4542/0459,BOURBON SPECIALTY COFFEES,Ibiraci,IBIRACI REGIONALS,325,59 kg,Brazil Specialty Coffee Association,2021 / 2022,"March 15th, 2022",Bourbon Specialty Coffees SA,Mixed,Natural / Dry,7.83,7.83,7.67,7.83,7.75,7.75,10.0,10.0,10.0,7.67,84.33,11.5 %,0 full defects,0,Green,2 full defects,"March 15th, 2023",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",Chris Allen - 55 35 3212-4705,1200
68,Arabica,Sucafina Colombia SAS,Colombia,Asociacion Tayronaca,NPCO-17418,Trilladora Santa Tirsa,,Sucafina NA,Sierra Nevada de Santa Marta,Grupo Tap,275,70 kg,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2021 / 2022,"May 11th, 2022",Sucafina Colombia SAS,Castillo and Colombia blend,Washed / Wet,7.75,7.75,7.75,7.75,7.83,7.67,10.0,10.0,10.0,7.83,84.33,11.6 %,0 full defects,0,Green,1 full defects,"May 11th, 2023",ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,Calle 60A #3D-32 / Planta Baja / CQ Lab ASECC,Emilio J Bonnet - 3186238650,2100
